date,minimum_traffic_index,maximum_traffic_index,average_traffic_index,temperature_mean_c,temperature_min_c,temperature_max_c,humidity_mean_pct,precipitation_sum_mm,rain_sum_mm,pressure_mean_hpa,cloud_cover_mean_pct,wind_speed_mean_kmh,wind_gusts_max_kmh,day_of_week,month,is_weekend,is_rainy,is_heavy_rain
2023-01-01,1,45,16.927083333333332,8.041666666666666,3.3,13.5,77.375,0.0,0.0,1032.0375000000001,0.25,7.879166666666666,19.4,Sunday,1,True,False,False
2023-01-02,1,67,26.003460207612456,7.3125,3.4,10.4,87.375,0.0,0.0,1030.8083333333334,6.208333333333333,6.420833333333333,17.3,Monday,1,False,False,False
2023-01-03,1,72,31.372822299651567,7.708333333333333,3.3,10.2,87.625,0.0,0.0,1027.1625,17.291666666666668,11.270833333333334,31.7,Tuesday,1,False,False,False
2023-01-04,1,83,31.975088967971526,8.950000000000001,6.8,11.6,89.33333333333333,0.2,0.2,1026.3999999999999,96.125,10.308333333333334,28.8,Wednesday,1,False,True,False
2023-01-05,1,72,31.25,9.758333333333333,8.6,11.4,88.54166666666667,0.0,0.0,1021.2166666666667,55.25,9.85,28.1,Thursday,1,False,False,False
2023-01-06,1,72,32.53125,10.291666666666666,6.9,12.6,87.79166666666667,1.4,1.4,1021.35,58.166666666666664,12.570833333333333,36.4,Friday,1,False,True,False
2023-01-07,1,62,27.4375,7.4125000000000005,3.9,11.1,87.08333333333333,0.0,0.0,1024.5625,39.083333333333336,5.216666666666667,15.8,Saturday,1,True,False,False
2023-01-08,1,47,16.75,6.675,2.2,11.8,83.0,0.0,0.0,1023.2333333333332,23.833333333333332,7.595833333333334,20.9,Sunday,1,True,False,False
2023-01-09,1,69,29.256944444444443,7.270833333333333,4.2,10.0,72.41666666666667,0.0,0.0,1020.5124999999999,18.125,11.258333333333333,29.9,Monday,1,False,False,False
2023-01-10,1,72,31.534722222222225,9.883333333333333,5.6,12.9,65.45833333333333,2.1,2.1,1014.2708333333334,88.375,19.162499999999998,46.4,Tuesday,1,False,True,False
2023-01-11,2,78,35.94444444444444,10.450000000000001,9.1,12.6,80.625,1.1,1.1,1014.5083333333333,100.0,12.320833333333333,35.3,Wednesday,1,False,True,False
2023-01-12,1,76,34.982638888888886,9.254166666666666,6.7,13.4,91.375,2.5,2.5,1017.0041666666666,95.04166666666667,12.770833333333334,39.2,Thursday,1,False,True,False
2023-01-13,8,81,39.548611111111114,9.516666666666667,7.8,12.6,87.04166666666667,0.7,0.7,1018.7624999999999,98.125,16.795833333333334,37.1,Friday,1,False,True,False
2023-01-14,1,56,26.024305555555557,8.941666666666666,7.8,10.5,84.375,0.0,0.0,1019.9833333333332,94.25,17.170833333333334,33.8,Saturday,1,True,False,False
2023-01-15,1,42,14.409722222222221,8.520833333333334,6.6,10.9,82.625,0.1,0.1,1020.3666666666667,56.5,17.854166666666668,38.9,Sunday,1,True,True,False
2023-01-16,1,67,28.180555555555557,7.804166666666667,4.4,10.6,85.875,0.0,0.0,1015.5124999999999,42.583333333333336,11.316666666666668,40.7,Monday,1,False,False,False
2023-01-17,1,76,33.11805555555556,13.483333333333334,10.3,15.2,62.5,0.0,0.0,1011.8041666666667,72.33333333333333,32.11666666666667,73.1,Tuesday,1,False,False,False
2023-01-18,1,72,33.53472222222222,15.245833333333332,14.2,17.2,56.958333333333336,0.0,0.0,1013.1916666666666,62.083333333333336,35.041666666666664,77.8,Wednesday,1,False,False,False
2023-01-19,1,76,34.173611111111114,13.345833333333333,9.4,16.9,65.08333333333333,0.0,0.0,1016.3666666666667,66.5,20.454166666666666,54.4,Thursday,1,False,False,False
2023-01-20,1,90,36.529824561403515,12.170833333333334,7.6,17.0,68.91666666666667,4.0,4.0,1012.6541666666667,45.625,15.5875,53.6,Friday,1,False,True,False
2023-01-21,1,65,31.722222222222225,11.533333333333333,8.2,15.4,72.70833333333333,0.0,0.0,1017.5083333333333,27.875,10.483333333333333,40.0,Saturday,1,True,False,False
2023-01-22,1,51,20.90181818181818,10.674999999999999,6.9,16.8,75.66666666666667,0.0,0.0,1021.7958333333332,67.375,8.220833333333333,19.4,Sunday,1,True,False,False
2023-01-23,1,74,31.14236111111111,9.070833333333333,7.4,11.2,82.875,0.0,0.0,1026.9708333333333,96.20833333333333,20.020833333333332,41.8,Monday,1,False,False,False
2023-01-24,1,80,36.979166666666664,7.7375,6.4,9.1,69.25,0.0,0.0,1029.3166666666666,93.375,19.466666666666665,39.2,Tuesday,1,False,False,False
2023-01-25,4,81,39.27777777777778,6.1499999999999995,4.8,7.2,75.66666666666667,0.1,0.1,1027.5458333333333,79.25,21.120833333333334,49.0,Wednesday,1,False,True,False
2023-01-26,1,78,35.447916666666664,8.75,5.2,12.1,71.79166666666667,0.0,0.0,1017.4083333333333,88.16666666666667,18.79583333333333,45.0,Thursday,1,False,False,False
2023-01-27,1,72,41.798283261802574,9.741666666666667,8.6,11.9,82.58333333333333,8.8,8.8,1007.0958333333333,95.625,9.666666666666666,46.4,Friday,1,False,True,False
2023-01-28,1,74,33.99305555555556,6.270833333333333,4.0,9.6,82.45833333333333,2.2,2.2,1012.6125000000001,93.04166666666667,15.695833333333333,40.0,Saturday,1,True,True,False
2023-01-29,1,60,25.744755244755243,4.095833333333333,3.0,5.6,70.58333333333333,0.0,0.0,1020.0583333333334,97.41666666666667,14.6,44.3,Sunday,1,True,False,False
2023-01-30,1,74,36.50694444444445,3.5375,-0.3,6.2,67.75,0.0,0.0,1016.9791666666666,75.75,13.679166666666667,31.3,Monday,1,False,False,False
2023-01-31,1,81,39.8974358974359,2.725,-1.6,6.8,76.875,0.4,0.4,1013.1083333333332,86.125,10.512500000000001,32.0,Tuesday,1,False,True,False
2023-02-01,11,81,39.871080139372815,5.120833333333334,2.6,7.4,69.83333333333333,1.3,1.3,1017.5666666666666,43.125,13.329166666666666,35.3,Wednesday,2,False,True,False
2023-02-02,1,78,35.375,7.529166666666666,6.1,9.4,71.875,0.8999999999999999,0.8999999999999999,1018.0916666666667,63.375,22.625,51.1,Thursday,2,False,True,False
2023-02-03,6,74,34.99650349650349,4.1375,1.4,7.6,78.5,1.7000000000000002,1.6,1020.7291666666666,47.291666666666664,8.229166666666666,26.6,Friday,2,False,True,False
2023-02-04,1,76,33.66197183098592,4.970833333333333,3.7,7.0,79.45833333333333,2.6,2.6,1013.5041666666666,86.625,20.587500000000002,54.0,Saturday,2,True,True,False
2023-02-05,1,45,22.5191637630662,2.845833333333333,2.0,4.7,85.41666666666667,15.0,10.6,1013.2541666666666,93.08333333333333,36.93333333333333,82.4,Sunday,2,True,True,True
2023-02-06,13,67,36.86805555555556,3.029166666666667,1.8,4.8,78.91666666666667,14.4,6.6000000000000005,1018.525,97.83333333333333,40.77916666666666,87.1,Monday,2,False,True,True
2023-02-07,9,62,29.411971830985916,1.5583333333333333,0.5,2.6,70.5,2.3000000000000003,0.30000000000000004,1028.0291666666667,80.125,33.487500000000004,73.1,Tuesday,2,False,True,False
