latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,28.887304,32.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),wind_direction_10m (°)
2023-01-01T00:00,7.3,81,0.00,0.00,0,1031.7,2,5.8,5.8,60
2023-01-01T01:00,8.6,75,0.00,0.00,0,1031.7,0,4.3,6.8,42
2023-01-01T02:00,7.0,78,0.00,0.00,0,1031.8,0,3.8,5.8,17
2023-01-01T03:00,4.8,84,0.00,0.00,0,1031.8,0,6.1,7.9,28
2023-01-01T04:00,3.7,88,0.00,0.00,0,1031.9,0,7.4,9.7,39
2023-01-01T05:00,3.3,88,0.00,0.00,0,1032.2,0,8.7,11.2,45
2023-01-01T06:00,4.1,87,0.00,0.00,0,1032.3,0,9.8,12.6,66
2023-01-01T07:00,8.4,76,0.00,0.00,0,1032.5,0,9.0,12.6,92
2023-01-01T08:00,10.2,73,0.00,0.00,0,1032.9,0,8.6,16.6,92
2023-01-01T09:00,11.6,67,0.00,0.00,0,1033.0,0,8.2,17.3,105
2023-01-01T10:00,12.4,60,0.00,0.00,0,1032.4,0,9.4,19.1,113
2023-01-01T11:00,13.0,57,0.00,0.00,0,1031.8,0,8.9,19.4,117
2023-01-01T12:00,13.2,56,0.00,0.00,0,1031.5,0,3.8,18.4,131
2023-01-01T13:00,13.5,57,0.00,0.00,0,1031.6,0,2.3,10.1,39
2023-01-01T14:00,11.9,73,0.00,0.00,0,1031.5,0,5.8,6.1,7
2023-01-01T15:00,8.2,83,0.00,0.00,0,1031.5,1,9.5,13.3,25
2023-01-01T16:00,8.1,89,0.00,0.00,0,1031.9,3,9.9,15.8,46
2023-01-01T17:00,7.2,87,0.00,0.00,0,1032.2,0,8.9,16.2,43
2023-01-01T18:00,7.1,86,0.00,0.00,0,1032.2,0,8.1,14.4,45
2023-01-01T19:00,5.9,87,0.00,0.00,0,1032.2,0,9.2,13.3,64
2023-01-01T20:00,5.3,86,0.00,0.00,0,1032.1,0,10.2,13.7,67
2023-01-01T21:00,5.8,82,0.00,0.00,0,1032.2,0,9.8,12.6,84
2023-01-01T22:00,6.5,78,0.00,0.00,0,1032.1,0,9.7,12.2,92
2023-01-01T23:00,5.9,79,0.00,0.00,0,1031.9,0,11.9,13.3,92
2023-01-02T00:00,5.2,86,0.00,0.00,0,1031.9,0,8.7,16.6,83
2023-01-02T01:00,4.2,87,0.00,0.00,0,1031.9,0,10.3,15.1,115
2023-01-02T02:00,3.7,92,0.00,0.00,0,1031.7,7,10.5,14.0,142
2023-01-02T03:00,4.9,94,0.00,0.00,0,1031.8,9,8.6,13.0,158
2023-01-02T04:00,4.3,97,0.00,0.00,0,1031.9,11,9.6,11.5,167
2023-01-02T05:00,3.4,98,0.00,0.00,0,1032.4,8,10.8,13.7,176
2023-01-02T06:00,3.5,97,0.00,0.00,0,1032.3,9,10.2,13.7,190
2023-01-02T07:00,7.3,91,0.00,0.00,0,1032.4,10,7.1,13.0,210
2023-01-02T08:00,8.3,86,0.00,0.00,0,1032.5,16,6.6,14.8,221
2023-01-02T09:00,8.9,80,0.00,0.00,0,1032.2,12,6.4,16.2,218
2023-01-02T10:00,9.4,76,0.00,0.00,0,1031.5,13,6.7,16.9,216
2023-01-02T11:00,9.6,75,0.00,0.00,0,1030.9,12,6.9,17.3,223
2023-01-02T12:00,10.4,79,0.00,0.00,0,1030.0,5,7.9,17.3,246
2023-01-02T13:00,10.4,79,0.00,0.00,0,1030.0,2,5.3,17.3,242
2023-01-02T14:00,9.4,88,0.00,0.00,0,1030.0,3,2.8,12.6,220
2023-01-02T15:00,9.3,84,0.00,0.00,0,1029.9,0,4.7,6.1,203
2023-01-02T16:00,9.1,83,0.00,0.00,0,1029.9,0,3.6,5.4,174
2023-01-02T17:00,8.9,83,0.00,0.00,0,1030.0,0,4.1,5.0,135
2023-01-02T18:00,8.4,86,0.00,0.00,0,1029.9,0,4.3,5.4,132
2023-01-02T19:00,8.2,86,0.00,0.00,0,1029.6,0,2.6,5.0,196
2023-01-02T20:00,8.0,88,0.00,0.00,0,1029.4,0,3.1,4.0,291
2023-01-02T21:00,7.5,91,0.00,0.00,0,1029.2,0,4.2,5.8,301
2023-01-02T22:00,6.9,94,0.00,0.00,0,1029.1,5,3.9,5.8,292
