trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2015-08-06 00:00:00 +0000 +0000,24,63,57.8581157775255392
2015-08-07 00:00:00 +0000 +0000,2,49,23.7704918032786885
2015-08-11 00:00:00 +0000 +0000,11,62,38.6012658227848101
2015-08-12 00:00:00 +0000 +0000,1,63,29.7152777777777778
2015-08-13 00:00:00 +0000 +0000,2,56,28.5574912891986063
2015-08-14 00:00:00 +0000 +0000,2,69,32.3000000000000000
2015-08-15 00:00:00 +0000 +0000,1,47,24.1840277777777778
2015-08-16 00:00:00 +0000 +0000,1,29,10.5902777777777778
2015-08-17 00:00:00 +0000 +0000,1,58,25.7456445993031359
2015-08-18 00:00:00 +0000 +0000,1,65,31.4270833333333333
2015-08-19 00:00:00 +0000 +0000,2,67,32.2916666666666667
2015-08-20 00:00:00 +0000 +0000,2,67,32.0312500000000000
2015-08-21 00:00:00 +0000 +0000,2,76,35.6597222222222222
2015-08-22 00:00:00 +0000 +0000,1,54,28.1006944444444444
2015-08-23 00:00:00 +0000 +0000,2,36,17.3819444444444444
2015-08-24 00:00:00 +0000 +0000,1,63,29.5331010452961672
2015-08-25 00:00:00 +0000 +0000,1,74,35.2083333333333333
2015-08-26 00:00:00 +0000 +0000,1,74,35.1944444444444444
2015-08-27 00:00:00 +0000 +0000,1,78,38.0069930069930070
2015-08-28 00:00:00 +0000 +0000,1,78,36.8263888888888889
2015-08-29 00:00:00 +0000 +0000,1,65,33.5069444444444444
2015-08-30 00:00:00 +0000 +0000,1,36,16.8506944444444444
2015-08-31 00:00:00 +0000 +0000,1,65,31.2604166666666667
2015-09-01 00:00:00 +0000 +0000,2,72,37.2604166666666667
2015-09-02 00:00:00 +0000 +0000,4,76,39.7534722222222222
2015-09-03 00:00:00 +0000 +0000,4,72,39.9721254355400697
2015-09-04 00:00:00 +0000 +0000,4,81,37.5331010452961672
2015-09-05 00:00:00 +0000 +0000,1,62,31.4548611111111111
2015-09-06 00:00:00 +0000 +0000,1,40,18.4270833333333333
2015-09-07 00:00:00 +0000 +0000,1,65,32.0625000000000000
2015-09-08 00:00:00 +0000 +0000,4,69,33.8885017421602787
2015-09-09 00:00:00 +0000 +0000,2,67,36.6388888888888889
2015-09-10 00:00:00 +0000 +0000,4,72,36.5590277777777778
2015-09-11 00:00:00 +0000 +0000,2,81,38.4409722222222222
2015-09-12 00:00:00 +0000 +0000,1,78,36.9861111111111111
2015-09-13 00:00:00 +0000 +0000,1,47,20.3159722222222222
2015-09-14 00:00:00 +0000 +0000,1,67,29.9405204460966543
2015-09-15 00:00:00 +0000 +0000,1,71,33.8195488721804511
2015-09-16 00:00:00 +0000 +0000,4,72,37.4529616724738676
2015-09-17 00:00:00 +0000 +0000,1,81,39.0522648083623693
2015-09-18 00:00:00 +0000 +0000,4,76,38.1672473867595819
2015-09-19 00:00:00 +0000 +0000,1,53,26.0034843205574913
2015-09-20 00:00:00 +0000 +0000,1,26,9.3146853146853147
2015-09-21 00:00:00 +0000 +0000,1,51,21.4459930313588850
2015-09-22 00:00:00 +0000 +0000,1,49,20.7291666666666667
2015-09-23 00:00:00 +0000 +0000,1,29,7.7317073170731707
2015-09-24 00:00:00 +0000 +0000,1,36,12.6111111111111111
2015-09-25 00:00:00 +0000 +0000,1,60,22.6736111111111111
2015-09-26 00:00:00 +0000 +0000,1,49,22.8063380281690141
2015-09-27 00:00:00 +0000 +0000,1,31,11.8432055749128920
2015-09-28 00:00:00 +0000 +0000,1,74,25.2787456445993031
2015-09-29 00:00:00 +0000 +0000,2,78,39.9372822299651568
2015-09-30 00:00:00 +0000 +0000,8,72,41.4703832752613240
2015-10-01 00:00:00 +0000 +0000,1,65,29.0557491289198606
2015-10-02 00:00:00 +0000 +0000,1,67,32.5894736842105263
2015-10-03 00:00:00 +0000 +0000,1,60,29.1672473867595819
2015-10-04 00:00:00 +0000 +0000,1,47,19.1006944444444444
2015-10-05 00:00:00 +0000 +0000,1,65,26.5520833333333333
2015-10-06 00:00:00 +0000 +0000,1,69,35.5902777777777778
2015-10-07 00:00:00 +0000 +0000,1,69,31.7665505226480836
2015-10-08 00:00:00 +0000 +0000,1,71,35.1881533101045296
2015-10-09 00:00:00 +0000 +0000,1,72,31.1276595744680851
2015-10-10 00:00:00 +0000 +0000,1,72,31.0034722222222222
2015-10-11 00:00:00 +0000 +0000,1,67,23.5000000000000000
2015-10-12 00:00:00 +0000 +0000,2,71,31.0909090909090909
2015-10-13 00:00:00 +0000 +0000,4,72,36.3658536585365854
2015-10-14 00:00:00 +0000 +0000,1,69,33.5069444444444444
2015-10-15 00:00:00 +0000 +0000,1,72,33.3251748251748252
2015-10-16 00:00:00 +0000 +0000,1,78,34.0104166666666667
2015-10-17 00:00:00 +0000 +0000,1,69,32.1672473867595819
2015-10-18 00:00:00 +0000 +0000,1,53,19.6805555555555556
2015-10-19 00:00:00 +0000 +0000,1,65,29.9874213836477987
2015-10-20 00:00:00 +0000 +0000,1,69,31.7482517482517483
2015-10-21 00:00:00 +0000 +0000,1,74,37.9879032258064516
2015-10-22 00:00:00 +0000 +0000,4,83,37.7007299270072993
2015-10-23 00:00:00 +0000 +0000,4,90,42.0740740740740741
2015-10-24 00:00:00 +0000 +0000,6,74,36.9318996415770609
2015-10-25 00:00:00 +0000 +0000,1,44,20.3139013452914798
2015-10-26 00:00:00 +0000 +0000,1,65,27.9350180505415162
2015-10-27 00:00:00 +0000 +0000,1,72,34.3745583038869258
2015-10-28 00:00:00 +0000 +0000,1,69,34.3519163763066202
2015-10-29 00:00:00 +0000 +0000,1,35,13.0555555555555556
2015-10-30 00:00:00 +0000 +0000,1,65,24.1909722222222222
2015-10-31 00:00:00 +0000 +0000,1,58,25.1881533101045296
2015-11-01 00:00:00 +0000 +0000,1,36,8.4756944444444444
2015-11-02 00:00:00 +0000 +0000,1,72,29.3937282229965157
2015-11-03 00:00:00 +0000 +0000,1,71,32.2439024390243902
2015-11-04 00:00:00 +0000 +0000,1,74,34.4596491228070175
2015-11-05 00:00:00 +0000 +0000,1,74,33.2822299651567944
2015-11-06 00:00:00 +0000 +0000,1,72,30.6701388888888889
2015-11-07 00:00:00 +0000 +0000,1,69,30.0940766550522648
2015-11-08 00:00:00 +0000 +0000,1,51,16.5379310344827586
2015-11-09 00:00:00 +0000 +0000,1,71,26.5749128919860627
2015-11-10 00:00:00 +0000 +0000,1,72,29.8029739776951673
2015-11-11 00:00:00 +0000 +0000,1,74,32.9444444444444444
2015-11-12 00:00:00 +0000 +0000,1,72,33.2781690140845070
2015-11-13 00:00:00 +0000 +0000,2,80,33.8706293706293706
2015-11-14 00:00:00 +0000 +0000,1,78,32.5868055555555556
2015-11-15 00:00:00 +0000 +0000,1,56,22.2404181184668990
2015-11-16 00:00:00 +0000 +0000,1,65,25.4877192982456140
2015-11-17 00:00:00 +0000 +0000,1,85,36.2078853046594982
2015-11-18 00:00:00 +0000 +0000,1,74,31.5783972125435540
2015-11-19 00:00:00 +0000 +0000,1,80,35.6853146853146853
2015-11-20 00:00:00 +0000 +0000,4,80,35.2404181184668990
2015-11-21 00:00:00 +0000 +0000,1,74,33.1428571428571429
2015-11-22 00:00:00 +0000 +0000,1,56,21.5208333333333333
2015-11-23 00:00:00 +0000 +0000,1,65,26.3745583038869258
2015-11-24 00:00:00 +0000 +0000,1,71,30.2877192982456140
2015-11-25 00:00:00 +0000 +0000,1,78,32.7377622377622378
2015-11-26 00:00:00 +0000 +0000,2,81,41.4078014184397163
2015-11-27 00:00:00 +0000 +0000,1,74,33.9345454545454545
2015-11-28 00:00:00 +0000 +0000,4,69,35.5139860139860140
2015-11-29 00:00:00 +0000 +0000,1,53,20.4618055555555556
2015-11-30 00:00:00 +0000 +0000,1,72,29.8257839721254355
2015-12-01 00:00:00 +0000 +0000,1,76,32.5739436619718310
2015-12-02 00:00:00 +0000 +0000,2,74,34.0105263157894737
2015-12-03 00:00:00 +0000 +0000,1,78,34.7929824561403509
2015-12-04 00:00:00 +0000 +0000,1,85,35.9032258064516129
2015-12-05 00:00:00 +0000 +0000,1,72,31.0277777777777778
2015-12-06 00:00:00 +0000 +0000,1,54,17.9686411149825784
2015-12-07 00:00:00 +0000 +0000,1,71,29.8339222614840989
2015-12-08 00:00:00 +0000 +0000,1,76,34.4385964912280702
2015-12-09 00:00:00 +0000 +0000,1,74,32.7874564459930314
2015-12-10 00:00:00 +0000 +0000,1,76,34.6807017543859649
2015-12-11 00:00:00 +0000 +0000,2,83,43.0736842105263158
2015-12-12 00:00:00 +0000 +0000,2,63,26.7708333333333333
2015-12-13 00:00:00 +0000 +0000,1,49,15.4650349650349650
2015-12-14 00:00:00 +0000 +0000,1,76,30.2245614035087719
2015-12-15 00:00:00 +0000 +0000,1,80,34.9861111111111111
2015-12-16 00:00:00 +0000 +0000,1,81,37.2604166666666667
2015-12-17 00:00:00 +0000 +0000,2,72,39.7013888888888889
2015-12-18 00:00:00 +0000 +0000,2,72,33.0314685314685315
2015-12-19 00:00:00 +0000 +0000,1,69,28.1672473867595819
2015-12-20 00:00:00 +0000 +0000,1,51,16.3159722222222222
2015-12-21 00:00:00 +0000 +0000,1,69,27.6759581881533101
2015-12-22 00:00:00 +0000 +0000,1,81,35.0739436619718310
2015-12-23 00:00:00 +0000 +0000,1,74,33.8854166666666667
2015-12-24 00:00:00 +0000 +0000,2,81,37.7700348432055749
2015-12-25 00:00:00 +0000 +0000,2,78,34.3881118881118881
2015-12-26 00:00:00 +0000 +0000,1,63,27.6805555555555556
2015-12-27 00:00:00 +0000 +0000,1,47,16.0763888888888889
2015-12-28 00:00:00 +0000 +0000,1,69,30.7665505226480836
2015-12-29 00:00:00 +0000 +0000,1,90,41.7385892116182573
2015-12-30 00:00:00 +0000 +0000,6,81,43.5127272727272727
2015-12-31 00:00:00 +0000 +0000,31,72,46.6794425087108014
2016-01-01 00:00:00 +0000 +0000,8,54,24.1805555555555556
2016-01-02 00:00:00 +0000 +0000,11,31,19.8736842105263158
2016-01-03 00:00:00 +0000 +0000,2,42,14.5000000000000000
2016-01-04 00:00:00 +0000 +0000,4,62,27.4285714285714286
2016-01-05 00:00:00 +0000 +0000,9,71,31.2518518518518519
2016-01-06 00:00:00 +0000 +0000,8,74,40.8905109489051095
2016-01-07 00:00:00 +0000 +0000,2,89,40.6215277777777778
2016-01-08 00:00:00 +0000 +0000,6,76,35.8571428571428571
2016-01-09 00:00:00 +0000 +0000,2,71,32.6319444444444444
2016-01-10 00:00:00 +0000 +0000,1,49,20.7916666666666667
2016-01-11 00:00:00 +0000 +0000,6,72,35.1254355400696864
2016-01-12 00:00:00 +0000 +0000,2,76,40.2812500000000000
2016-01-13 00:00:00 +0000 +0000,8,76,38.2326388888888889
2016-01-14 00:00:00 +0000 +0000,6,76,37.8042704626334520
2016-01-15 00:00:00 +0000 +0000,2,76,34.1524822695035461
2016-01-16 00:00:00 +0000 +0000,1,69,34.8437500000000000
2016-01-17 00:00:00 +0000 +0000,1,65,28.0034722222222222
2016-01-18 00:00:00 +0000 +0000,5,60,22.3646209386281588
2016-01-19 00:00:00 +0000 +0000,3,28,12.1672473867595819
2016-01-20 00:00:00 +0000 +0000,2,66,21.4583333333333333
2016-01-21 00:00:00 +0000 +0000,1,68,20.8188153310104530
2016-01-22 00:00:00 +0000 +0000,1,90,26.6202090592334495
2016-01-23 00:00:00 +0000 +0000,4,58,28.2926829268292683
2016-01-24 00:00:00 +0000 +0000,4,44,16.1319444444444444
2016-01-25 00:00:00 +0000 +0000,1,71,30.1180555555555556
2016-01-26 00:00:00 +0000 +0000,4,72,37.1180555555555556
2016-01-27 00:00:00 +0000 +0000,4,81,36.6509090909090909
2016-01-28 00:00:00 +0000 +0000,2,89,41.2155477031802120
2016-01-29 00:00:00 +0000 +0000,2,85,39.7187500000000000
2016-01-30 00:00:00 +0000 +0000,2,78,36.8070175438596491
2016-01-31 00:00:00 +0000 +0000,1,63,27.7351916376306620
2016-02-01 00:00:00 +0000 +0000,2,76,37.7282229965156794
2016-02-02 00:00:00 +0000 +0000,2,89,40.8784722222222222
2016-02-03 00:00:00 +0000 +0000,2,90,41.7536231884057971
2016-02-04 00:00:00 +0000 +0000,4,83,40.9097222222222222
2016-02-05 00:00:00 +0000 +0000,2,90,49.1857142857142857
2016-02-06 00:00:00 +0000 +0000,13,63,34.3543859649122807
2016-02-07 00:00:00 +0000 +0000,1,53,20.2847222222222222
2016-02-08 00:00:00 +0000 +0000,1,67,30.3135888501742160
2016-02-09 00:00:00 +0000 +0000,4,78,36.0659722222222222
2016-02-10 00:00:00 +0000 +0000,4,76,35.2272727272727273
2016-02-11 00:00:00 +0000 +0000,6,80,40.8958333333333333
2016-02-12 00:00:00 +0000 +0000,6,89,40.8229166666666667
2016-02-13 00:00:00 +0000 +0000,2,56,29.9548611111111111
2016-02-14 00:00:00 +0000 +0000,2,54,23.6515679442508711
